Date,GOOG,AMZN,AAPL,TSLA
01/06/18,1115.650024,1699.800049,182.334488,342.95
01/07/18,1217.26001,1777.439941,187.436829,298.14
01/08/18,1218.189941,2012.709961,224.21698,301.66
01/09/18,1193.469971,2003,223.135147,264.77
01/10/18,1076.77002,1598.01001,216.334518,337.32
01/11/18,1094.430054,1690.170044,176.519318,350.48
01/12/18,1035.609985,1501.969971,156.463837,332.8
01/01/19,1116.369995,1718.72998,165.093445,307.02
01/02/19,1119.920044,1639.829956,171.749146,319.88
01/03/19,1173.310059,1780.75,189.221313,279.86
01/04/19,1188.47998,1926.52002,199.900192,238.69
01/05/19,1133.469971,1823.280029,178.283432,188.7